iter	Passed	Remaining
399	33389	133557
400	33473	133477
401	33585	133507
402	33667	133415
403	33751	133336
404	33834	133248
405	33918	133166
406	33998	133069
407	34080	132980
408	34163	132895
409	34243	132797
410	34326	132710
411	34410	132631
412	34502	132580
413	34585	132496
414	34668	132410
415	34749	132316
416	34831	132225
417	34918	132154
418	35000	132064
419	35078	131962
420	35157	131863
421	35238	131768
422	35316	131666
423	35396	131567
424	35477	131476
425	35583	131476
426	35662	131376
427	35749	131304
428	35831	131214
429	35911	131120
430	35992	131026
431	36073	130932
432	36152	130834
433	36231	130734
434	36314	130647
435	36394	130551
436	36474	130455
437	36553	130359
438	36636	130272
439	36717	130178
440	36798	130088
441	36881	130003
442	36964	129919
443	37044	129823
444	37127	129736
445	37210	129653
446	37293	129568
447	37375	129478
448	37462	129409
449	37543	129318
450	37627	129233
451	37708	129142
452	37786	129041
453	37866	128944
454	37948	128857
455	38037	128794
456	38117	128700
457	38200	128613
458	38282	128525
459	38361	128427
460	38442	128337
461	38524	128248
462	38606	128160
463	38688	128071
464	38768	127977
465	38848	127882
466	38929	127790
467	39011	127703
468	39094	127618
469	39176	127533
470	39257	127441
471	39337	127348
472	39419	127258
473	39501	127170
474	39580	127074
475	39659	126978
476	39755	126933
477	39834	126837
478	39915	126746
479	39995	126652
480	40078	126569
481	40159	126477
482	40241	126389
483	40322	126298
484	40401	126203
485	40480	126106
486	40566	126031
487	40648	125942
488	40727	125846
489	40809	125759
490	40891	125673
491	40973	125586
492	41055	125498
493	41137	125411
494	41217	125319
495	41295	125219
496	41377	125131
497	41461	125051
498	41572	125049
499	41737	125212
500	41901	125369
501	42064	125523
502	42240	125712
503	42411	125889
504	42900	127002
505	42981	126904
506	43061	126805
507	43140	126705
508	43223	126612
509	43301	126507
510	43379	126403
511	43460	126305
512	43547	126229
513	43648	126189
514	43729	126094
515	43811	125999
516	43892	125904
517	43974	125812
518	44056	125716
519	44138	125625
520	44220	125530
521	44299	125429
522	44379	125332
523	44458	125229
524	44539	125135
525	44623	125047
526	44707	124959
527	44789	124868
528	44870	124772
529	44955	124689
530	45037	124594
531	45120	124505
532	45201	124408
533	45282	124315
534	45362	124218
535	45444	124125
536	45536	124060
537	45651	124055
538	45731	123959
539	45817	123875
540	45896	123776
541	45976	123679
542	46056	123579
543	46136	123483
544	46218	123390
545	46300	123298
546	46383	123209
547	46466	123118
548	46549	123029
549	46632	122940
550	46712	122843
551	46795	122753
552	46876	122657
553	46960	122572
554	47045	122488
555	47129	122400
556	47213	122314
557	47295	122222
558	47375	122126
559	47454	122026
560	47536	121935
561	47621	121849
562	47703	121759
563	47786	121669
564	47866	121572
565	47947	121478
566	48027	121381
567	48106	121281
568	48190	121195
569	48269	121096
570	48350	121002
571	48433	120914
572	48512	120814
573	48590	120715
574	48675	120631
575	48755	120533
576	48837	120442
577	48919	120352
578	49001	120261
579	49081	120164
580	49162	120072
581	49245	119982
582	49328	119894
583	49410	119804
584	49490	119707
585	49574	119621
586	49657	119533
587	49741	119446
588	49822	119352
589	49907	119270
590	49990	119181
591	50070	119087
592	50151	118994
593	50236	118911
594	50318	118818
595	50398	118723
596	50480	118632
597	50561	118540
598	50640	118442
599	50722	118352
600	50802	118256
601	50882	118162
602	50965	118073
603	51050	117991
604	51131	117897
605	51214	117811
606	51296	117719
607	51378	117630
608	51457	117533
609	51536	117435
610	51619	117346
611	51701	117257
612	51785	117171
613	51868	117084
614	51951	116997
615	52032	116904
616	52116	116818
617	52199	116729
618	52281	116640
619	52360	116543
620	52442	116454
621	52525	116366
622	52609	116281
623	52692	116193
624	52775	116106
625	52858	116019
626	52943	115934
627	53022	115839
628	53106	115752
629	53186	115660
630	53270	115574
631	53352	115483
632	53430	115385
633	53513	115298
634	53601	115222
635	53694	115156
636	53783	115081
637	53866	114994
638	53951	114911
639	54031	114816
640	54114	114730
641	54193	114633
642	54278	114550
643	54359	114457
644	54438	114362
645	54517	114268
646	54597	114173
647	54678	114081
648	54757	113987
649	54839	113897
650	54924	113813
651	55007	113726
652	55087	113633
653	55169	113544
654	55251	113456
655	55335	113370
656	55413	113273
657	55497	113187
658	55604	113150
659	55688	113065
660	55769	112973
661	55850	112881
662	55933	112795
663	56013	112702
664	56095	112612
665	56177	112524
666	56258	112432
667	56367	112398
668	56504	112417
669	56612	112380
670	56785	112471
671	56883	112412
672	56970	112332
673	57070	112278
674	57154	112191
675	57244	112117
676	57336	112048
677	57431	111982
678	57519	111904
679	57602	111816
680	57685	111729
681	57765	111635
682	57856	111563
683	57943	111481
684	58024	111389
685	58103	111295
686	58188	111210
687	58268	111116
688	58354	111035
689	58438	110947
690	58520	110858
691	58605	110774
692	58690	110690
693	58779	110613
694	58862	110526
695	58957	110460
696	59051	110392
697	59131	110298
698	59217	110217
699	59311	110150
700	59397	110067
701	59491	110000
702	59578	109919
703	59675	109857
704	59769	109788
705	59877	109746
706	59963	109664
707	60063	109607
708	60164	109552
709	60257	109481
710	60348	109408
711	60488	109422
712	60588	109365
713	60734	109389
714	60848	109357
715	60948	109298
716	61039	109223
717	61129	109147
718	61217	109067
719	61298	108975
720	61381	108886
721	61468	108803
722	61551	108716
723	61635	108627
724	61722	108545
725	61807	108461
726	61892	108375
727	61978	108292
728	62059	108199
729	62143	108113
730	62228	108027
731	62312	107940
732	62399	107857
733	62481	107767
734	62565	107681
735	62649	107593
736	62733	107507
737	62815	107415
738	62903	107335
739	62992	107257
740	63073	107165
741	63154	107073
742	63236	106983
743	63322	106899
744	63408	106815
745	63494	106731
746	63573	106636
747	63681	106589
748	63776	106521
749	63860	106434
750	63950	106357
751	64036	106273
752	64123	106191
753	64208	106105
754	64292	106018
755	64390	105954
756	64470	105861
757	64555	105775
758	64636	105684
759	64721	105597
760	64804	105510
761	64887	105420
762	64975	105340
763	65064	105260
764	65147	105172
765	65229	105082
766	65310	104991
767	65394	104903
768	65472	104807
769	65561	104727
770	65668	104677
771	65751	104588
772	65834	104499
773	65917	104411
774	65998	104319
775	66079	104228
776	66163	104141
777	66244	104049
778	66327	103961
779	66409	103871
780	66493	103784
781	66576	103695
782	66658	103606
783	66742	103519
784	66827	103433
785	66909	103342
786	66994	103258
787	67082	103177
788	67165	103089
789	67254	103009
790	67336	102919
791	67418	102830
792	67501	102742
793	67594	102668
794	67679	102583
795	67761	102493
796	67857	102424
797	67945	102343
798	68029	102257
799	68116	102175
800	68196	102081
801	68279	101993
802	68361	101903
803	68404	101756
804	68490	101672
805	68574	101585
806	68658	101498
807	68737	101404
808	68822	101319
809	68908	101235
810	68993	101150
811	69079	101067
812	69161	100976
813	69241	100885
814	69340	100819
815	69441	100758
816	69586	100759
817	69726	100753
818	69873	100757
819	70022	100763
820	70165	100761
821	70278	100715
822	70366	100633
823	70459	100558
824	70554	100487
825	70646	100409
826	70748	100347
827	70845	100279
828	70932	100196
829	71023	100116
830	71119	100046
831	71220	99981
832	71310	99902
833	71401	99825
834	71495	99751
835	71589	99677
836	71681	99600
837	71773	99523
838	71866	99448
839	71967	99383
840	72053	99298
841	72144	99220
842	72238	99145
843	72342	99084
844	72442	99019
845	72534	98941
846	72625	98863
847	72715	98783
848	72813	98714
849	72914	98648
850	73014	98581
851	73111	98512
852	73202	98433
853	73291	98351
854	73382	98271
855	73478	98200
856	73572	98125
857	73671	98056
858	73767	97984
859	73865	97914
860	73965	97847
861	74055	97767
862	74147	97689
863	74240	97612
864	74337	97540
865	74434	97470
866	74529	97395
867	74622	97318
868	74713	97239
869	74805	97161
870	74905	97093
871	75004	97024
872	75104	96956
873	75196	96877
874	75289	96800
875	75386	96728
876	75478	96649
877	75574	96577
878	75699	96540
879	75791	96462
880	75886	96387
881	75993	96327
882	76088	96251
883	76190	96186
884	76284	96109
885	76378	96032
886	76473	95957
887	76568	95883
888	76665	95810
889	76761	95736
890	76856	95661
891	76950	95584
892	77043	95506
893	77144	95438
894	77244	95368
895	77329	95281
896	77417	95196
897	77505	95112
898	77597	95033
899	77700	94967
900	77797	94893
901	77899	94826
902	77996	94753
903	78092	94677
904	78185	94600
905	78277	94520
906	78362	94432
907	78459	94358
908	78555	94283
909	78649	94206
910	78739	94124
911	78837	94051
912	78930	93972
913	79025	93896
914	79129	93830
915	79231	93762
916	79323	93682
917	79408	93594
918	79490	93502
919	79572	93411
920	79654	93319
921	79737	93229
922	79820	93138
923	79901	93045
924	79984	92954
925	80065	92861
926	80151	92774
927	80233	92683
928	80316	92593
929	80399	92502
930	80482	92412
931	80565	92321
932	80648	92230
933	80728	92137
934	80813	92049
935	80895	91958
936	80977	91867
937	81062	91779
938	81145	91688
939	81225	91594
940	81307	91503
941	81390	91413
942	81476	91326
943	81557	91233
944	81640	91143
945	81727	91058
946	81814	90972
947	81899	90883
948	81980	90792
949	82064	90702
950	82144	90609
951	82228	90520
952	82313	90432
953	82409	90357
954	82498	90273
955	82582	90184
956	82665	90094
957	82745	90000
958	82831	89913
959	82914	89823
960	82994	89731
961	83078	89642
962	83163	89553
963	83247	89464
964	83332	89377
965	83416	89288
966	83499	89198
967	83579	89105
