iter	Logloss
0	0.6731836868
1	0.6539240626
2	0.6355093312
3	0.6168262381
4	0.5999239642
5	0.5821968166
6	0.566134342
7	0.5496132878
8	0.5336544824
9	0.5191868608
10	0.5053443252
11	0.4916077436
12	0.4784448881
13	0.465987543
14	0.4536743819
15	0.4412658197
16	0.4294412268
17	0.4183091405
18	0.4076866952
19	0.3971287324
20	0.3866046298
21	0.3763534984
22	0.3668087086
23	0.3571637724
24	0.3481140197
25	0.3396219526
26	0.3314106653
27	0.3235144687
28	0.3153400073
29	0.3080376755
30	0.3008421044
31	0.2937743981
32	0.2863915384
33	0.2800896059
34	0.2738550661
35	0.2673559466
36	0.2614441169
37	0.2553300623
38	0.249841203
39	0.2438068949
40	0.2386674208
41	0.233374721
42	0.2283025609
43	0.2236994297
44	0.2186487789
45	0.2144247425
46	0.2101344389
47	0.2058745824
48	0.2019973465
49	0.1984741694
50	0.1946354611
51	0.1909779795
52	0.1872648916
53	0.1836114424
54	0.1803860811
55	0.1772143074
56	0.174056231
57	0.1708145379
58	0.1679270984
59	0.1649618058
60	0.1623606189
61	0.1596368221
62	0.1571140066
63	0.1545813021
64	0.1520458267
65	0.1496408679
66	0.1472342886
67	0.1451684076
68	0.1431848086
69	0.14095551
70	0.138921467
71	0.137009062
72	0.1350197503
73	0.1328161798
74	0.1310721847
75	0.1292846416
76	0.127360736
77	0.1257078285
78	0.1240446904
79	0.1224268822
80	0.1209239998
81	0.1194423309
82	0.117986705
83	0.1166074504
84	0.1151504078
85	0.1136138851
86	0.1121700797
87	0.111004891
88	0.1096687612
89	0.1085091093
90	0.1074387224
91	0.1063663735
92	0.1052352479
93	0.1040700816
94	0.1030167299
95	0.1018901719
96	0.1008235638
97	0.09991321877
98	0.09905118906
99	0.09807752164
100	0.0971025774
101	0.09626342329
102	0.09544162377
103	0.09452173454
104	0.09354556513
105	0.09272821945
106	0.09188842229
107	0.09103950981
108	0.09025238575
109	0.08954407934
110	0.08870037349
111	0.08783599645
112	0.08711951598
113	0.08644243127
114	0.08591164026
115	0.08518224489
116	0.08450639622
117	0.08388024226
118	0.0832880149
119	0.08260877296
120	0.08206177797
121	0.08153245163
122	0.08092236572
123	0.0803411345
124	0.079801936
125	0.0793182307
126	0.07874914736
127	0.07817074209
128	0.07774490316
129	0.07730186228
130	0.07673695791
131	0.07619346076
132	0.07578026007
133	0.0752798574
134	0.07479687992
135	0.0742803215
136	0.07391089851
137	0.07351364581
138	0.07302181707
139	0.07260816998
140	0.07211317259
141	0.07166268592
142	0.07130300774
143	0.0709077734
144	0.07052169525
145	0.07016450111
146	0.06972279338
147	0.06941047895
148	0.06904480748
